SUB_ID,ORD,CASE_ID,SOUNDTYPE,SOUNDNUM,SAMEDIFF,MUS_REF,MUS_COM,REF,A,B,C,D,ANS,CORRECT,TIME,COMPLETED,REP,EXPERTICE,HEADPHONE
1,4GwhMP,1,31,INSTR,16,diff,viulut,viulut2,MH,CP,AC,MH,BP,MH,1,2020-11-10 18:16:47,0,1,experienced,Audiotechnica ATH-M5X
2,4GwhMP,2,13,MUSIC,0,same,BEE2,BEE2,AC,AC,BP,CP,MH,AC,1,2020-11-10 18:18:57,0,1,experienced,Audiotechnica ATH-M5X
3,4GwhMP,3,29,INSTR,9,diff,viulut,viulut2,AC,AC,CP,MH,BP,MH,0,2020-11-10 18:20:44,0,1,experienced,Audiotechnica ATH-M5X
4,4GwhMP,4,12,MUSIC,0,diff,BEE2,BEE1,CP,BP,CP,MH,AC,AC,0,2020-11-10 18:21:58,0,1,experienced,Audiotechnica ATH-M5X
5,4GwhMP,5,18,INSTR,7,same,viulut,viulut,BP,AC,CP,MH,BP,CP,0,2020-11-10 18:24:45,0,1,experienced,Audiotechnica ATH-M5X
6,4GwhMP,6,22,INSTR,10,diff,viulut,viulut2,BP,MH,CP,BP,AC,BP,1,2020-11-10 18:25:05,0,1,experienced,Audiotechnica ATH-M5X
7,4GwhMP,7,2,MUSIC,0,same,BEE1,BEE1,BP,MH,BP,CP,AC,BP,1,2020-11-10 18:25:36,0,0,experienced,Audiotechnica ATH-M5X
8,4GwhMP,8,25,INSTR,6,same,viulut,viulut,AC,AC,MH,CP,BP,AC,1,2020-11-10 18:25:59,0,1,experienced,Audiotechnica ATH-M5X
9,4GwhMP,9,17,INSTR,12,same,viulut,viulut,AC,MH,BP,CP,AC,MH,0,2020-11-10 18:26:12,0,1,experienced,Audiotechnica ATH-M5X
10,4GwhMP,10,10,MUSIC,0,diff,BEE2,BEE1,BP,AC,BP,CP,MH,MH,0,2020-11-10 18:26:58,0,1,experienced,Audiotechnica ATH-M5X
11,4GwhMP,11,20,INSTR,11,same,viulut,viulut,CP,AC,CP,BP,MH,CP,1,2020-11-10 18:27:29,0,1,experienced,Audiotechnica ATH-M5X
12,4GwhMP,12,30,INSTR,5,diff,viulut,viulut2,BP,BP,CP,AC,MH,BP,1,2020-11-10 18:28:08,0,1,experienced,Audiotechnica ATH-M5X
13,4GwhMP,13,32,INSTR,1,diff,viulut,viulut2,CP,BP,CP,MH,AC,AC,0,2020-11-10 18:28:45,0,1,experienced,Audiotechnica ATH-M5X
14,4GwhMP,14,24,INSTR,2,diff,viulut,viulut2,CP,MH,BP,AC,CP,BP,0,2020-11-10 18:29:24,0,1,experienced,Audiotechnica ATH-M5X
15,4GwhMP,15,1,MUSIC,0,same,BEE1,BEE1,AC,AC,CP,MH,BP,AC,1,2020-11-10 18:30:03,0,0,experienced,Audiotechnica ATH-M5X
16,4GwhMP,16,16,MUSIC,0,same,BEE2,BEE2,CP,CP,MH,AC,BP,CP,1,2020-11-10 18:30:17,0,1,experienced,Audiotechnica ATH-M5X
