SUB_ID,ORD,CASE_ID,SOUNDTYPE,SOUNDNUM,SAMEDIFF,MUS_REF,MUS_COM,REF,A,B,C,D,ANS,CORRECT,TIME,COMPLETED,REP
S04,1,17,INSTR,1,same,viulut,viulut,AC,CP,BP,AC,MH,NA,0,13-Jan-2020 15:27:52,0,1
S04,2,19,INSTR,11,same,viulut,viulut,MH,BP,MH,CP,AC,NA,0,13-Jan-2020 15:27:52,0,1
S04,3,21,INSTR,5,diff,viulut,viulut2,AC,AC,BP,MH,CP,NA,0,13-Jan-2020 15:27:52,0,1
S04,4,7,MUSIC,0,diff,BEE1,BEE2,MH,CP,MH,AC,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,5,15,MUSIC,0,same,BEE2,BEE2,MH,BP,AC,CP,MH,NA,0,13-Jan-2020 15:27:52,0,1
S04,6,22,INSTR,14,diff,viulut,viulut2,BP,CP,MH,BP,AC,NA,0,13-Jan-2020 15:27:52,0,1
S04,7,5,MUSIC,0,diff,BEE1,BEE2,AC,AC,MH,CP,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,8,8,MUSIC,0,diff,BEE1,BEE2,CP,CP,BP,AC,MH,NA,0,13-Jan-2020 15:27:52,0,1
S04,9,24,INSTR,8,diff,viulut,viulut2,CP,BP,CP,AC,MH,NA,0,13-Jan-2020 15:27:52,0,1
S04,10,5,MUSIC,0,diff,BEE1,BEE2,AC,MH,BP,AC,CP,NA,0,13-Jan-2020 15:27:52,0,1
S04,11,23,INSTR,7,diff,viulut,viulut2,MH,MH,AC,BP,CP,NA,0,13-Jan-2020 15:27:52,0,1
S04,12,13,MUSIC,0,same,BEE2,BEE2,AC,CP,AC,MH,BP,NA,0,13-Jan-2020 15:27:52,0,1
S04,13,9,MUSIC,0,diff,BEE2,BEE1,AC,CP,BP,AC,MH,NA,0,13-Jan-2020 15:27:52,0,1
S04,14,24,INSTR,16,diff,viulut,viulut2,CP,MH,BP,CP,AC,NA,0,13-Jan-2020 15:27:52,0,1
