SUB_ID,ORD,CASE_ID,SOUNDTYPE,SOUNDNUM,SAMEDIFF,MUS_REF,MUS_COM,REF,A,B,C,D,ANS,CORRECT,TIME,COMPLETED,REP
S1,1,21,INSTR,5,diff,viulut,viulut2,AC,AC,BP,MH,CP,MH,0,18-Jan-2020 21:09:13,0,1
S1,2,31,INSTR,15,diff,viulut,viulut2,MH,AC,MH,CP,BP,CP,0,18-Jan-2020 21:09:13,0,1
S1,3,4,MUSIC,0,same,BEE1,BEE1,CP,MH,AC,BP,CP,MH,0,18-Jan-2020 21:09:12,0,0
S1,4,3,MUSIC,0,same,BEE1,BEE1,MH,MH,AC,BP,CP,AC,0,18-Jan-2020 21:09:12,0,0
S1,5,7,MUSIC,0,diff,BEE1,BEE2,MH,AC,MH,BP,CP,BP,0,18-Jan-2020 21:09:12,0,0
S1,6,13,MUSIC,0,same,BEE2,BEE2,AC,CP,AC,MH,BP,CP,0,18-Jan-2020 21:09:12,0,1
S1,7,30,INSTR,14,diff,viulut,viulut2,BP,AC,MH,CP,BP,MH,0,18-Jan-2020 21:09:13,0,1
S1,8,25,INSTR,9,same,viulut,viulut,AC,BP,MH,CP,AC,MH,0,18-Jan-2020 21:09:13,0,1
S1,9,22,INSTR,6,diff,viulut,viulut2,BP,MH,AC,BP,CP,AC,0,18-Jan-2020 21:09:13,0,1
S1,10,11,MUSIC,0,diff,BEE2,BEE1,MH,CP,AC,MH,BP,MH,1,18-Jan-2020 21:09:12,0,1
S1,11,16,MUSIC,0,same,BEE2,BEE2,CP,AC,BP,CP,MH,BP,0,18-Jan-2020 21:09:12,0,1
S1,12,12,MUSIC,0,diff,BEE2,BEE1,CP,BP,AC,CP,MH,MH,0,18-Jan-2020 21:09:12,0,1
S1,13,15,MUSIC,0,same,BEE2,BEE2,MH,AC,CP,BP,MH,CP,0,18-Jan-2020 21:09:12,0,1
S1,14,1,MUSIC,0,same,BEE1,BEE1,AC,MH,BP,AC,CP,CP,0,18-Jan-2020 21:09:12,0,0
S1,15,19,INSTR,3,same,viulut,viulut,MH,BP,AC,MH,CP,AC,0,18-Jan-2020 21:09:13,0,1
S1,16,18,INSTR,2,same,viulut,viulut,BP,AC,CP,MH,BP,CP,0,18-Jan-2020 21:09:13,0,1
S1,17,27,INSTR,11,same,viulut,viulut,MH,BP,CP,MH,AC,MH,1,18-Jan-2020 21:09:13,0,1
S1,18,14,MUSIC,0,same,BEE2,BEE2,BP,AC,CP,BP,MH,AC,0,18-Jan-2020 21:09:12,0,1
S1,19,32,INSTR,16,diff,viulut,viulut2,CP,CP,BP,MH,AC,BP,0,18-Jan-2020 21:09:13,0,1
S1,20,5,MUSIC,0,diff,BEE1,BEE2,AC,BP,AC,MH,CP,AC,1,18-Jan-2020 21:09:12,0,0
S1,21,29,INSTR,13,diff,viulut,viulut2,AC,CP,MH,AC,BP,MH,0,18-Jan-2020 21:09:13,0,1
S1,22,28,INSTR,12,same,viulut,viulut,CP,CP,AC,BP,MH,MH,0,18-Jan-2020 21:09:13,0,1
S1,23,24,INSTR,8,diff,viulut,viulut2,CP,CP,BP,MH,AC,AC,0,18-Jan-2020 21:09:13,0,1
S1,24,20,INSTR,4,same,viulut,viulut,CP,AC,BP,MH,CP,CP,1,18-Jan-2020 21:09:13,0,1
S1,25,6,MUSIC,0,diff,BEE1,BEE2,BP,CP,AC,MH,BP,BP,1,18-Jan-2020 21:09:12,0,0
S1,26,8,MUSIC,0,diff,BEE1,BEE2,CP,AC,CP,BP,MH,BP,0,18-Jan-2020 21:09:12,0,0
S1,27,23,INSTR,7,diff,viulut,viulut2,MH,AC,BP,CP,MH,BP,0,18-Jan-2020 21:09:13,0,1
S1,28,10,MUSIC,0,diff,BEE2,BEE1,BP,AC,MH,BP,CP,AC,0,18-Jan-2020 21:09:12,0,1
S1,29,26,INSTR,10,same,viulut,viulut,BP,BP,CP,AC,MH,MH,0,18-Jan-2020 21:09:13,0,1
S1,30,9,MUSIC,0,diff,BEE2,BEE1,AC,BP,AC,CP,MH,BP,0,18-Jan-2020 21:09:12,0,1
S1,31,2,MUSIC,0,same,BEE1,BEE1,BP,AC,MH,CP,BP,BP,1,18-Jan-2020 21:09:12,0,0
S1,32,17,INSTR,1,same,viulut,viulut,AC,BP,AC,CP,MH,CP,0,18-Jan-2020 21:09:13,0,1
S2,1,18,INSTR,2,same,viulut,viulut,BP,AC,MH,BP,CP,AC,0,18-Jan-2020 21:09:13,0,1
S2,2,2,MUSIC,0,same,BEE1,BEE1,BP,CP,MH,BP,AC,CP,0,18-Jan-2020 21:09:12,0,0
S2,3,17,INSTR,1,same,viulut,viulut,AC,AC,BP,CP,MH,MH,0,18-Jan-2020 21:09:13,0,1
S2,4,12,MUSIC,0,diff,BEE2,BEE1,CP,CP,AC,MH,BP,BP,0,18-Jan-2020 21:09:12,0,1
S2,5,11,MUSIC,0,diff,BEE2,BEE1,MH,AC,BP,CP,MH,CP,0,18-Jan-2020 21:09:12,0,1
S2,6,25,INSTR,9,same,viulut,viulut,AC,CP,AC,BP,MH,BP,0,18-Jan-2020 21:09:13,0,1
S2,7,7,MUSIC,0,diff,BEE1,BEE2,MH,AC,MH,CP,BP,CP,0,18-Jan-2020 21:09:12,0,0
S2,8,24,INSTR,8,diff,viulut,viulut2,CP,AC,MH,CP,BP,BP,0,18-Jan-2020 21:09:13,0,1
S2,9,4,MUSIC,0,same,BEE1,BEE1,CP,MH,CP,AC,BP,CP,1,18-Jan-2020 21:09:12,0,0
S2,10,29,INSTR,13,diff,viulut,viulut2,AC,BP,MH,CP,AC,AC,1,18-Jan-2020 21:09:13,0,1
S2,11,13,MUSIC,0,same,BEE2,BEE2,AC,AC,CP,BP,MH,CP,0,18-Jan-2020 21:09:12,0,1
S2,12,20,INSTR,4,same,viulut,viulut,CP,BP,CP,MH,AC,MH,0,18-Jan-2020 21:09:13,0,1
S2,13,22,INSTR,6,diff,viulut,viulut2,BP,BP,MH,CP,AC,MH,0,18-Jan-2020 21:09:13,0,1
S2,14,21,INSTR,5,diff,viulut,viulut2,AC,CP,AC,BP,MH,CP,0,18-Jan-2020 21:09:13,0,1
S2,15,8,MUSIC,0,diff,BEE1,BEE2,CP,CP,MH,BP,AC,CP,1,18-Jan-2020 21:09:12,0,0
S2,16,23,INSTR,7,diff,viulut,viulut2,MH,MH,AC,BP,CP,BP,0,18-Jan-2020 21:09:13,0,1
S2,17,6,MUSIC,0,diff,BEE1,BEE2,BP,BP,CP,AC,MH,AC,0,18-Jan-2020 21:09:12,0,0
S2,18,3,MUSIC,0,same,BEE1,BEE1,MH,AC,BP,CP,MH,AC,0,18-Jan-2020 21:09:12,0,0
S2,19,30,INSTR,14,diff,viulut,viulut2,BP,BP,MH,CP,AC,CP,0,18-Jan-2020 21:09:13,0,1
S2,20,28,INSTR,12,same,viulut,viulut,CP,AC,MH,CP,BP,BP,0,18-Jan-2020 21:09:13,0,1
S2,21,16,MUSIC,0,same,BEE2,BEE2,CP,MH,BP,CP,AC,BP,0,18-Jan-2020 21:09:12,0,1
S2,22,31,INSTR,15,diff,viulut,viulut2,MH,MH,AC,BP,CP,MH,1,18-Jan-2020 21:09:13,0,1
S2,23,15,MUSIC,0,same,BEE2,BEE2,MH,BP,CP,AC,MH,CP,0,18-Jan-2020 21:09:12,0,1
S2,24,5,MUSIC,0,diff,BEE1,BEE2,AC,AC,CP,MH,BP,BP,0,18-Jan-2020 21:09:12,0,0
S2,25,10,MUSIC,0,diff,BEE2,BEE1,BP,BP,MH,AC,CP,MH,0,18-Jan-2020 21:09:12,0,1
S2,26,9,MUSIC,0,diff,BEE2,BEE1,AC,MH,CP,BP,AC,AC,1,18-Jan-2020 21:09:12,0,1
S2,27,14,MUSIC,0,same,BEE2,BEE2,BP,MH,BP,CP,AC,BP,1,18-Jan-2020 21:09:12,0,1
S2,28,19,INSTR,3,same,viulut,viulut,MH,AC,BP,CP,MH,AC,0,18-Jan-2020 21:09:13,0,1
